identificador,Area(mm²)
d3_t4_80uL_r1,614.86
d1_t5_60uL_r2,69.69
d2_t3_100uL_r1,49.39
d5_t2_40uL_r4,3891.49
d5_t3_100uL_r5,64.84
d2_t3_60uL_r2,56.62
d2_t4_100uL_r1,126.15
d5_t3_60uL_r1,53.2
d3_t2_20uL_r4,1943.47
d5_t4_100uL_r5,904.25
d2_t4_80uL_r5,156.52
d2_t4_20uL_r5,203.64
d1_t6_0uL_r7,68.56
d3_t2_80uL_r4,1761.64
d3_t5_100uL_r4,1904.76
d4_t4_40uL_r5,1553.83
d3_t5_60uL_r3,1277.47
d3_t2_100uL_r4,1821.74
d1_t2_40uL_r2,78.92
d2_t6_0uL_r2,659.52
d5_t5_60uL_r4,3426.68
d3_t4_20uL_r1,881.12
d5_t6_0uL_r6,5239.19
d3_t4_100uL_r3,736.34
d2_t4_40uL_r2,241.63
d5_t2_80uL_r3,3307.91
d1_t2_20uL_r5,105.24
d5_t4_40uL_r1,2132.05
d3_t3_100uL_r3,61.98
d4_t4_20uL_r2,2203.51
d4_t4_20uL_r3,1196.2
d3_t3_100uL_r2,55.89
d5_t2_80uL_r2,4636.45
d1_t2_20uL_r4,113.82
d2_t4_40uL_r3,325.14
d2_t2_80uL_r1,688.33
d4_t4_100uL_r6,884.33
d3_t4_100uL_r2,602.1
d5_t6_0uL_r7,5610.47
d5_t5_60uL_r5,3816.47
d1_t4_80uL_r1,70.97
d4_t2_100uL_r1,2554.83
d2_t6_0uL_r3,528.46
d1_t2_40uL_r3,152.11
d3_t2_100uL_r5,1840.43
d3_t5_60uL_r2,1958.79
d4_t4_40uL_r4,807.51
d4_t5_100uL_r1,2542.17
d3_t2_80uL_r5,1921.48
d3_t5_100uL_r5,2102.22
d4_t5_60uL_r1,2237.96
d1_t6_0uL_r6,233.14
d2_t4_20uL_r4,281.14
d4_t5_60uL_r3,2739.2
d1_t6_0uL_r4,88.23
d3_t4_40uL_r5,835.72
d4_t5_100uL_r3,3612.96
d1_t3_60uL_r4,43.75
d4_t2_80uL_r4,2641.74
d5_t4_20uL_r5,1752.12
d4_t2_100uL_r3,3357.27
d1_t4_80uL_r3,62.36
d1_t2_40uL_r1,104.27
d2_t6_0uL_r1,639.52
d5_t6_0uL_r5,5583.89
d3_t4_20uL_r2,1116.42
d2_t4_40uL_r1,206.67
d4_t4_100uL_r4,1106.74
d2_t2_80uL_r3,548.05
d5_t4_40uL_r2,2050.85
d4_t4_20uL_r1,1561.75
d4_t3_100uL_r4,56.86
d2_t5_60uL_r4,410.2
d4_t3_100uL_r5,63.16
d2_t5_60uL_r5,559.85
d3_t3_100uL_r1,72.48
d5_t2_80uL_r1,4717.74
d5_t4_40uL_r3,2432.43
d2_t2_80uL_r2,650.97
d4_t4_100uL_r5,799.18
d3_t4_100uL_r1,720.74
d3_t4_20uL_r3,643.4
d5_t6_0uL_r4,5574.09
d5_t4_20uL_r4,3249.24
d1_t4_80uL_r2,69.2
d4_t2_100uL_r2,3031.35
d3_t5_60uL_r1,1516.8
d4_t2_80uL_r5,3633.64
d4_t5_100uL_r2,3420.02
d1_t3_60uL_r5,68.7
d3_t4_40uL_r4,426.41
d1_t6_0uL_r5,132.78
d4_t5_60uL_r2,3320.58
d1_t6_0uL_r1,50.85
d2_t4_20uL_r3,132.06
d1_t3_60uL_r1,58.95
d3_t2_80uL_r2,1638.96
d3_t5_100uL_r2,1800.53
d4_t2_80uL_r1,3234.5
d4_t4_40uL_r3,1656.78
d1_t2_40uL_r4,84.79
d2_t6_0uL_r4,448.67
d3_t5_60uL_r5,1670.18
d3_t2_100uL_r2,1423.62
d5_t5_60uL_r2,4590.59
d2_t4_40uL_r4,131.18
d4_t4_100uL_r1,1123.07
d3_t4_100uL_r5,544.38
d5_t2_80uL_r5,5153.66
d1_t2_20uL_r3,112.41
d2_t5_60uL_r1,466.05
d4_t3_100uL_r1,52.21
d3_t3_100uL_r5,61.46
d4_t4_20uL_r4,2143.15
d4_t4_20uL_r5,1281.79
d3_t3_100uL_r4,83.8
d5_t2_80uL_r4,3902.88
d1_t2_20uL_r2,101.89
d3_t4_100uL_r4,590.64
d2_t4_40uL_r5,278.27
d5_t5_60uL_r3,3727.28
d5_t6_0uL_r1,4046.18
d3_t2_100uL_r3,1892.28
d3_t5_60uL_r4,1448.25
d2_t6_0uL_r5,1065.27
d1_t2_40uL_r5,87.8
d5_t4_20uL_r1,2194.26
d4_t4_40uL_r2,1680.8
d3_t4_40uL_r1,733.9
d3_t2_80uL_r3,1591.15
d3_t5_100uL_r3,2123.72
d2_t4_20uL_r2,330.32
d1_t6_0uL_r2,109.24
d4_t5_60uL_r5,2760.5
d4_t5_100uL_r5,3846.82
d1_t3_60uL_r2,52.91
d3_t4_40uL_r3,922.64
d3_t5_100uL_r1,1468.29
d3_t2_80uL_r1,1762.39
d4_t2_80uL_r2,3467.24
d2_t6_0uL_r7,1167.91
d5_t4_20uL_r3,1545.08
d4_t2_100uL_r5,3388.04
d1_t4_80uL_r5,69.6
d3_t2_100uL_r1,1240.28
d3_t4_20uL_r4,989.24
d5_t6_0uL_r3,4885.24
d5_t5_60uL_r1,3179.88
d4_t4_100uL_r2,1132.91
d2_t2_80uL_r5,712.92
d3_t4_100uL_r6,448.02
d5_t4_40uL_r4,1234.93
d4_t3_100uL_r2,52.78
d2_t5_60uL_r2,504.47
d4_t3_100uL_r3,30.98
d2_t5_60uL_r3,393.24
d5_t4_40uL_r5,2135.32
d1_t2_20uL_r1,177.1
d2_t2_80uL_r4,475.16
d4_t4_100uL_r3,1445.43
d5_t6_0uL_r2,5512.7
d3_t4_20uL_r5,667.45
d5_t4_20uL_r2,2950.16
d1_t4_80uL_r4,63.71
d4_t2_100uL_r4,2973.77
d2_t6_0uL_r6,1176.27
d4_t2_80uL_r3,2364.07
d4_t4_40uL_r1,1548.78
d3_t4_40uL_r2,772.82
d4_t5_100uL_r4,3604.26
d1_t3_60uL_r3,59.55
d2_t4_20uL_r1,286.82
d4_t5_60uL_r4,2652.8
d1_t6_0uL_r3,93.11
d1_t4_60uL_r2,65.39
d3_t5_80uL_r1,1424.63
d3_t3_40uL_r3,53.93
d4_t2_60uL_r5,2712.47
d1_t3_100uL_r2,78.02
d3_t6_0uL_r5,3375.94
d1_t3_80uL_r5,56.78
d4_t5_80uL_r2,1883.0
d1_t4_100uL_r2,73.67
d2_t5_80uL_r5,355.17
d3_t3_20uL_r4,39.69
d4_t6_0uL_r1,3579.9
d1_t2_100uL_r5,70.06
d5_t2_60uL_r1,4598.69
d2_t2_60uL_r2,695.47
d1_t5_100uL_r5,80.54
d5_t3_40uL_r4,70.2
d1_t5_20uL_r1,66.84
d1_t5_100uL_r4,89.0
d5_t3_40uL_r5,50.75
d2_t2_60uL_r3,516.93
d1_t2_100uL_r4,84.49
d3_t3_20uL_r5,377.09
d2_t5_80uL_r4,211.91
d1_t4_100uL_r3,65.98
d4_t3_40uL_r1,61.78
d4_t5_80uL_r3,2955.78
d3_t6_0uL_r4,2333.67
d5_t3_20uL_r2,1490.37
d1_t3_80uL_r4,62.37
d1_t3_100uL_r3,61.11
d2_t3_20uL_r1,75.92
d4_t2_60uL_r4,3165.64
d3_t3_40uL_r2,67.08
d1_t4_60uL_r3,68.51
d1_t4_60uL_r1,96.7
d3_t5_80uL_r2,1246.35
d1_t3_100uL_r1,66.55
d2_t3_20uL_r3,58.3
d1_t5_40uL_r4,67.71
d3_t6_0uL_r6,3213.7
d1_t5_80uL_r4B,72.19
d3_t2_60uL_r5,1552.61
d4_t3_40uL_r3,55.67
d4_t5_80uL_r1,2460.12
d1_t4_100uL_r1,62.42
d2_t3_40uL_r4,64.9
d4_t6_0uL_r2,4456.56
d5_t2_60uL_r2,3215.11
d2_t2_60uL_r1,591.32
d4_t3_20uL_r4,178.07
d1_t5_20uL_r3,63.49
d5_t5_80uL_r4,2724.6
d1_t5_20uL_r2,75.0
d4_t3_20uL_r5,1676.61
d5_t2_60uL_r3,3908.4
d4_t6_0uL_r3,3810.29
d2_t3_40uL_r5,58.45
d4_t3_40uL_r2,88.52
d3_t2_60uL_r4,1989.96
d3_t6_0uL_r7,3245.18
d5_t3_20uL_r1,1676.33
d1_t5_40uL_r5,77.5
d2_t3_20uL_r2,62.03
d3_t5_80uL_r3,1672.75
d3_t3_40uL_r1,55.84
d3_t3_40uL_r5,56.2
d1_t4_60uL_r4,64.04
d1_t3_100uL_r4,65.6
d4_t2_60uL_r3,2883.24
d1_t5_40uL_r1,73.74
d5_t3_20uL_r5,3312.06
d3_t6_0uL_r3,2207.24
d1_t3_80uL_r3,54.47
d1_t4_100uL_r4,44.69
d4_t5_80uL_r4,1777.86
d2_t5_80uL_r3,614.27
d2_t3_40uL_r1,71.49
d1_t2_100uL_r3,77.34
d4_t6_0uL_r7,5091.83
d3_t3_20uL_r2,90.9
d4_t3_20uL_r1,429.34
d2_t2_60uL_r4,855.99
d1_t5_100uL_r3,63.85
d5_t3_40uL_r2,69.41
d1_t5_100uL_r2,68.45
d5_t3_40uL_r3,76.32
d5_t5_80uL_r1,3145.04
d2_t2_60uL_r5,668.68
d3_t3_20uL_r3,49.63
d4_t6_0uL_r6,4833.83
d1_t2_100uL_r2,63.46
d2_t5_80uL_r2,419.92
d4_t5_80uL_r5,2414.63
d1_t4_100uL_r5,62.97
d3_t6_0uL_r2,2836.81
d5_t3_20uL_r4,564.01
d1_t3_80uL_r2,53.03
d3_t2_60uL_r1,1885.4
d4_t2_60uL_r2,2421.07
d1_t3_100uL_r5,54.49
d1_t4_60uL_r5,68.11
d3_t3_40uL_r4,70.86
d3_t5_80uL_r4,803.16
d2_t3_20uL_r5,64.35
d3_t2_60uL_r3,1552.64
d1_t5_40uL_r2,66.2
d4_t3_40uL_r5,56.6
d2_t3_40uL_r2,63.79
d5_t2_60uL_r4,4409.86
d4_t6_0uL_r4,4397.18
d3_t3_20uL_r1,53.31
d4_t3_20uL_r2,446.76
d5_t3_40uL_r1,48.32
d5_t5_80uL_r3,3900.21
d1_t5_20uL_r5,65.37
d5_t5_80uL_r2,2259.69
d1_t5_20uL_r4,79.0
d1_t5_100uL_r1,95.72
d4_t3_20uL_r3,467.7
d4_t6_0uL_r5,5285.47
d5_t2_60uL_r5,3755.45
d1_t2_100uL_r1,66.53
d2_t5_80uL_r1,489.1
d2_t3_40uL_r3,51.65
d4_t3_40uL_r4,79.15
d1_t4_100uL_r6,61.85
d1_t5_40uL_r3,71.53
d1_t3_80uL_r1,64.99
d3_t6_0uL_r1,2566.96
d3_t2_60uL_r2,1656.85
d4_t2_60uL_r1,3437.71
d2_t3_20uL_r4,46.53
d3_t5_80uL_r5,1377.86
d3_t5_20uL_r5,1604.8
d2_t3_80uL_r4,67.15
d1_t3_20uL_r1,68.76
d5_t5_40uL_r5,4306.44
d2_t4_60uL_r3,266.93
d4_t4_60uL_r4,1299.97
d2_t5_20uL_r1,497.64
d1_t2_60uL_r3,76.68
d3_t5_40uL_r2,1585.01
d4_t5_40uL_r1,2854.32
d4_t3_80uL_r3,70.81
d5_t5_20uL_r2,4124.76
d1_t5_80uL_r4,72.63
d5_t5_20uL_r3,4222.18
d1_t5_80uL_r5,69.75
d4_t3_80uL_r2,59.22
d3_t3_80uL_r1,62.62
d3_t5_40uL_r3,1447.12
d1_t2_60uL_r2,169.72
d4_t4_60uL_r5,1560.28
d2_t4_60uL_r2,215.11
d5_t5_40uL_r4,5611.19
d2_t3_80uL_r5,66.61
d5_t4_60uL_r1,1236.05
d3_t5_20uL_r4,1585.67
d5_t4_60uL_r3,1602.01
d2_t5_40uL_r5,411.13
d5_t3_80uL_r4,42.26
d1_t3_20uL_r2,71.44
d5_t2_100uL_r3B,4395.99
d4_t5_20uL_r5,3386.11
d1_t3_80uL_r3B,57.03
d2_t5_20uL_r2,487.46
d3_t3_80uL_r3,57.23
d3_t5_40uL_r1,1482.61
d4_t5_40uL_r2,2792.58
d5_t5_20uL_r1,4613.46
d1_t3_40uL_r5,61.92
d3_t4_60uL_r4,805.52
d3_t4_60uL_r5,758.74
d1_t3_40uL_r4,75.58
d4_t5_40uL_r3,2759.15
d4_t3_80uL_r1,67.61
d3_t3_80uL_r2,63.75
d1_t2_60uL_r1,161.48
d2_t5_20uL_r3,557.74
d4_t5_20uL_r4,2214.11
d2_t4_60uL_r1,414.7
d5_t3_80uL_r5,51.48
d1_t3_20uL_r3,47.98
d2_t5_40uL_r4,432.37
d5_t4_60uL_r2,2150.29
d3_t5_20uL_r3,1658.71
d2_t3_80uL_r2,56.89
d5_t5_40uL_r3,3875.27
d5_t3_80uL_r1,52.23
d2_t4_60uL_r5,297.45
d4_t4_60uL_r2,1046.26
d3_t5_40uL_r4,1610.85
d1_t2_60uL_r5,83.84
d4_t3_80uL_r5,74.88
d3_t4_60uL_r1,953.28
d5_t5_20uL_r4,2670.6
d1_t5_80uL_r2,68.65
d1_t2_100uL_r3B,135.95
d1_t3_40uL_r1,65.33
d5_t5_20uL_r5,4956.92
d1_t5_80uL_r3,129.86
d4_t3_80uL_r4,66.13
d1_t2_60uL_r4,119.48
d3_t5_40uL_r5,1463.72
d4_t4_60uL_r3,1614.7
d2_t4_60uL_r4,328.96
d4_t5_20uL_r1,3370.73
d5_t5_40uL_r2,3894.15
d2_t3_80uL_r3,55.94
d2_t5_40uL_r1,412.06
d3_t5_20uL_r2,1508.64
d5_t4_60uL_r5,2118.13
d2_t3_80uL_r1,63.8
d2_t5_40uL_r3,480.78
d5_t3_80uL_r2,53.24
d1_t3_20uL_r4,47.86
d4_t5_20uL_r3,3133.77
d2_t5_20uL_r4,581.21
d4_t4_60uL_r1,1394.89
d3_t3_80uL_r5,65.09
d4_t5_40uL_r4,3669.4
d3_t4_60uL_r2,712.47
d1_t3_40uL_r3,53.01
d1_t5_80uL_r1,75.98
d1_t3_40uL_r2,62.36
d3_t4_60uL_r3,798.04
d4_t5_40uL_r5,2927.73
d3_t3_80uL_r4,67.97
d2_t5_20uL_r5,455.18
d4_t5_20uL_r2,3036.73
d5_t5_40uL_r1,4407.05
d5_t3_80uL_r3,52.57
d1_t3_20uL_r5,57.89
d2_t5_40uL_r2,525.12
d3_t5_20uL_r1,1724.42
d5_t4_60uL_r4,2157.69
